823_control_1.txt	824_control_2.txt	825_control_3.txt	826_2week_1.txt	828_2week_2.txt	829_2week_3.txt	830_4week_1.txt	831_4week_2.txt	832_4week_3.txt	835_7week_1.txt	836_7week_2.txt	839_7week_3.txt	840_10week_1.txt	841_10week_2.txt	847_10week_3.txt
ENSMUSG00000000001	3285	1718	2480	2677	3348	1852	3735	1578	2839	3501	4016	3332	3467	2651	3492
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	62	67	116	313	110	84	146	58	186	248	394	136	274	229	265
ENSMUSG00000000031	2404	2	308	43	13	4	4	6	195	79	1837	169	873	303	578
ENSMUSG00000000037	26	7	34	9	7	3	10	6	9	3	5	0	2	6	2
ENSMUSG00000000049	8	1	1	1	8	5	7	2	6	1	3	5	0	0	2
ENSMUSG00000000056	974	532	1094	425	795	382	1101	599	851	916	912	848	682	590	904
ENSMUSG00000000058	281	209	467	250	346	53	290	165	329	317	254	248	237	369	211
ENSMUSG00000000078	5205	2217	3664	3483	3572	2686	4190	2918	3118	3980	3385	3813	3243	2960	2801
ENSMUSG00000000085	592	386	974	863	903	346	757	491	863	1094	1409	604	1058	822	1288
ENSMUSG00000000088	4318	2243	4228	4346	5890	4051	6326	3498	5101	1938	3253	1770	2205	1889	2376
ENSMUSG00000000093	126	126	257	119	197	59	254	103	163	113	156	171	128	165	130
ENSMUSG00000000094	8	8	10	2	13	1	5	5	12	19	34	27	34	22	34
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	113	115	299	261	172	41	129	29	74	158	28	192	84	192	50
ENSMUSG00000000125	4	0	1	2	0	2	3	3	15	45	62	17	40	23	99
ENSMUSG00000000126	35	33	87	25	19	6	11	8	7	34	8	13	21	32	9
ENSMUSG00000000127	209	145	210	174	270	110	249	153	233	257	237	207	202	199	184
ENSMUSG00000000131	916	440	1207	824	879	445	1032	499	966	1229	1417	850	1290	1004	1211
ENSMUSG00000000134	748	386	812	782	792	387	716	314	549	862	978	700	882	772	899
ENSMUSG00000000142	427	230	637	89	109	123	463	165	767	5837	6657	3832	4648	2455	5615
ENSMUSG00000000148	277	167	423	242	236	170	293	180	324	291	366	274	282	257	314
ENSMUSG00000000149	613	423	1105	645	477	473	590	349	763	870	961	738	803	605	1030
ENSMUSG00000000154	1389	695	1432	1447	2309	2327	2057	1361	1820	744	1116	836	910	697	1012
ENSMUSG00000000157	46	21	32	22	151	25	47	14	31	37	23	29	41	42	37
ENSMUSG00000000159	395	222	345	836	973	541	693	521	686	336	391	243	356	241	419
ENSMUSG00000000167	31	14	19	28	28	11	41	9	27	23	39	26	35	19	40
ENSMUSG00000000168	1926	1057	1876	1455	1896	834	2370	975	1854	1449	1580	1233	1341	922	1213
ENSMUSG00000000171	7068	3281	6706	6336	7188	5351	9584	5514	8783	2956	4276	3304	3577	2359	3372
ENSMUSG00000000182	0	0	0	5	0	0	0	0	0	0	0	0	4	2	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	4707	3091	6055	2165	3910	668	3123	1194	2746	4091	5121	4107	4242	2651	4900
ENSMUSG00000000194	1300	701	1459	1236	1779	1071	1627	856	1351	1086	1257	1027	1223	881	1058
ENSMUSG00000000197	16	21	31	24	24	9	13	7	14	3	0	4	4	6	1
ENSMUSG00000000202	5	2	9	6	1	3	3	1	4	103	240	21	43	68	115
ENSMUSG00000000204	298	116	309	630	1068	241	1157	1833	1956	980	1728	714	772	941	557
ENSMUSG00000000214	3	1	3	1	0	8	0	4	0	2	5	1	5	3	1
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	1098	814	209	73	107	2	132	146	186	41	104	349	51	21	73
ENSMUSG00000000223	47	13	58	22	21	8	16	7	18	29	21	14	23	6	9
ENSMUSG00000000244	29	8	13	108	17	12	29	16	141	47	356	77	99	69	175
ENSMUSG00000000247	9	8	3	0	1	0	0	1	1	1	7	3	13	1	5
ENSMUSG00000000248	0	0	0	1	0	0	1	7	0	0	1	0	0	13	0
ENSMUSG00000000253	885	514	1133	335	641	124	622	246	464	544	961	189	519	540	748
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	804	438	795	400	851	538	697	406	562	487	723	591	571	397	437
ENSMUSG00000000275	2266	1095	1710	2257	2920	1465	2848	1828	2357	1917	2463	1594	1755	1467	1637
ENSMUSG00000000276	167	76	247	129	131	45	117	68	118	154	149	161	153	132	159
ENSMUSG00000000278	569	280	804	590	454	424	557	261	533	427	683	494	488	412	406
ENSMUSG00000000282	453	308	651	590	598	278	507	266	470	884	1049	614	733	634	822
ENSMUSG00000000290	99	36	106	358	185	36	199	95	317	332	698	315	366	377	370
ENSMUSG00000000295	285	130	429	380	188	189	447	204	483	251	379	176	249	240	277
ENSMUSG00000000296	54	42	79	66	51	76	45	29	41	33	77	53	32	47	45
ENSMUSG00000000301	49	31	70	89	63	37	68	50	82	42	81	29	44	32	66
ENSMUSG00000000303	18065	9587	14680	15671	27150	10670	22182	12155	16164	19005	25826	15979	18527	16216	20825
ENSMUSG00000000305	15	20	27	4	6	3	9	3	4	12	11	7	2	12	3
ENSMUSG00000000308	53114	27150	47753	37225	103512	13608	81417	37101	60365	8174	15789	15755	12696	9306	10135
ENSMUSG00000000317	52	34	104	19	23	14	20	14	22	28	46	21	44	62	67
ENSMUSG00000000318	66	29	73	43	49	2	17	21	19	6	14	17	23	17	11
ENSMUSG00000000320	87	12	29	12	18	11	66	6	145	1825	2591	541	1357	1833	2664
ENSMUSG00000000325	85	48	158	88	72	25	50	32	47	129	160	94	107	100	133
ENSMUSG00000000326	512	329	622	263	455	211	587	222	415	542	681	485	539	426	583
ENSMUSG00000000339	369	205	473	228	417	350	472	234	366	262	416	221	274	222	258
ENSMUSG00000000340	434	218	474	240	281	185	492	166	341	246	365	261	271	176	249
ENSMUSG00000000346	9057	4830	8231	7279	7296	5290	9407	4822	8464	6064	7575	5577	5633	5087	6892
ENSMUSG00000000355	649	268	740	512	517	350	549	395	747	450	492	358	384	300	417
ENSMUSG00000000359	82	25	103	30	31	16	22	18	39	11	23	21	11	11	13
ENSMUSG00000000365	2	4	1	2	1	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000000374	1842	877	1711	1463	2551	739	1984	986	1521	1285	1312	1200	1456	1126	1198
ENSMUSG00000000378	542	346	854	712	641	319	726	378	809	626	946	487	616	478	712
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1576	617	1829	1556	1415	1166	1942	954	1468	1141	1554	819	1277	1025	1129
ENSMUSG00000000385	17693	8227	15030	12419	29269	2491	19466	11184	15629	7304	9834	9106	8730	5171	7158
ENSMUSG00000000386	25	11	21	68	181	48	60	106	139	57	110	36	52	52	37
ENSMUSG00000000392	111	26	95	31	55	25	26	28	46	8	11	18	9	9	9
ENSMUSG00000000394	436	197	776	2832	3397	866	928	532	743	4	91	70	36	29	39
ENSMUSG00000000399	2863	1296	2732	2161	2534	1795	3741	1677	3178	1126	1859	1274	1340	1070	1209
ENSMUSG00000000402	39	0	2	2	9	1	6	2	2	12	7	7	26	19	8
ENSMUSG00000000409	30	40	46	145	46	57	121	70	237	113	177	73	140	60	146
ENSMUSG00000000411	1	0	0	1	0	0	2	2	0	0	2	1	0	0	3
ENSMUSG00000000416	384	161	505	47	91	37	302	191	287	129	95	105	104	66	100
ENSMUSG00000000420	1087	619	1034	1181	1716	847	1619	865	1637	2080	2579	1589	1808	1639	2200
ENSMUSG00000000435	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	391	178	393	182	356	116	370	191	292	299	314	291	299	217	294
ENSMUSG00000000440	714	308	774	473	922	1793	1139	724	1180	469	476	510	445	299	453
ENSMUSG00000000441	791	434	790	364	876	308	994	366	697	873	797	788	888	647	746
ENSMUSG00000000486	103	62	135	461	93	33	256	124	432	188	319	186	248	118	148
ENSMUSG00000000489	137	64	203	170	171	71	108	67	136	346	371	130	221	380	448
ENSMUSG00000000530	399	234	518	329	459	152	281	171	270	145	208	271	182	211	155
ENSMUSG00000000531	90	78	209	123	73	83	74	59	140	218	293	154	209	224	191
ENSMUSG00000000532	2193	1006	2033	1229	2736	1778	2055	1191	1386	1192	1302	1275	1214	1146	1102
ENSMUSG00000000538	2292	1101	2407	1420	2100	1133	1469	886	1171	733	721	772	730	852	710
ENSMUSG00000000544	15969	8582	13037	14188	23881	11390	21591	11569	16193	11050	12624	11283	11068	6790	10381
ENSMUSG00000000552	237	78	223	117	124	38	112	48	91	215	142	165	200	222	160
ENSMUSG00000000555	2836	2050	5077	1071	2887	355	1528	721	1020	1267	838	1506	1564	2095	717
ENSMUSG00000000560	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	449	257	657	522	205	275	526	294	530	460	660	308	449	404	517
