gene_name	num
	66686.0
ENSMUSG00000030067	1797
ENSMUSG00000100625	1599
ENSMUSG00000033306	1584
ENSMUSG00000112762	1547
ENSMUSG00000055435	1531
ENSMUSG00000038679	1506
ENSMUSG00000086202	1482
ENSMUSG00000106183	1465
ENSMUSG00000022952	1410
ENSMUSG00000038151	1403
ENSMUSG00000089809	1399
ENSMUSG00000069662	1348
ENSMUSG00000015501	1252
ENSMUSG00000041112	1236
ENSMUSG00000020422	1213
ENSMUSG00000024431	1149
ENSMUSG00000052713	1148
ENSMUSG00000038608	1141
ENSMUSG00000040451	1128
ENSMUSG00000027630	1128
ENSMUSG00000030199	1128
ENSMUSG00000061731	1128
ENSMUSG00000101969	1126
ENSMUSG00000039087	1110
ENSMUSG00000036478	1108
ENSMUSG00000102069	1100
ENSMUSG00000036894	1068
ENSMUSG00000003032	1048
ENSMUSG00000022377	1028
ENSMUSG00000018076	1026
ENSMUSG00000019850	1021
ENSMUSG00000041417	1019
ENSMUSG00000040363	1012
ENSMUSG00000027381	997
ENSMUSG00000026872	983
ENSMUSG00000051495	958
ENSMUSG00000033721	951
ENSMUSG00000022378	950
ENSMUSG00000096960	944
ENSMUSG00000028525	942
ENSMUSG00000033066	938
ENSMUSG00000040990	930
ENSMUSG00000000078	930
ENSMUSG00000019943	929
ENSMUSG00000040111	928
ENSMUSG00000021423	922
ENSMUSG00000040270	918
ENSMUSG00000039191	915
ENSMUSG00000053007	908
ENSMUSG00000110018	907
ENSMUSG00000055652	907
ENSMUSG00000039316	899
ENSMUSG00000005087	891
ENSMUSG00000115426	890
ENSMUSG00000099326	889
ENSMUSG00000035356	883
ENSMUSG00000112765	882
ENSMUSG00000051650	881
ENSMUSG00000032501	879
ENSMUSG00000035164	866
ENSMUSG00000006462	866
ENSMUSG00000022335	864
ENSMUSG00000007817	850
ENSMUSG00000030560	844
ENSMUSG00000098144	842
ENSMUSG00000017631	830
ENSMUSG00000039910	826
ENSMUSG00000030255	822
ENSMUSG00000035158	820
ENSMUSG00000025314	819
ENSMUSG00000041235	814
ENSMUSG00000051732	814
ENSMUSG00000040274	813
ENSMUSG00000036452	806
ENSMUSG00000026657	803
ENSMUSG00000025959	798
ENSMUSG00000021458	797
ENSMUSG00000027763	797
ENSMUSG00000061143	791
ENSMUSG00000001995	785
ENSMUSG00000021895	782
ENSMUSG00000027540	776
ENSMUSG00000072872	776
ENSMUSG00000027737	776
ENSMUSG00000025790	775
ENSMUSG00000040943	768
ENSMUSG00000043336	767
ENSMUSG00000020589	756
ENSMUSG00000024589	754
ENSMUSG00000028163	752
ENSMUSG00000004698	752
ENSMUSG00000085316	744
ENSMUSG00000021108	744
ENSMUSG00000046876	743
ENSMUSG00000024238	740
ENSMUSG00000021109	738
ENSMUSG00000028412	736
ENSMUSG00000021250	732
ENSMUSG00000049985	730
ENSMUSG00000052684	728
ENSMUSG00000083270	726
ENSMUSG00000045658	726
ENSMUSG00000030064	723
ENSMUSG00000019960	720
ENSMUSG00000033487	719
ENSMUSG00000059248	718
ENSMUSG00000042700	717
ENSMUSG00000028184	715
ENSMUSG00000066026	715
ENSMUSG00000021367	713
ENSMUSG00000020023	710
ENSMUSG00000026786	710
ENSMUSG00000064289	707
ENSMUSG00000027035	706
ENSMUSG00000097589	705
ENSMUSG00000032020	700
ENSMUSG00000015305	699
ENSMUSG00000092901	695
ENSMUSG00000038518	694
ENSMUSG00000109819	691
ENSMUSG00000036053	688
ENSMUSG00000026482	687
ENSMUSG00000027829	685
ENSMUSG00000114790	685
ENSMUSG00000045312	684
ENSMUSG00000063568	683
ENSMUSG00000050994	680
ENSMUSG00000029174	680
ENSMUSG00000052889	678
ENSMUSG00000019990	677
ENSMUSG00000039838	676
ENSMUSG00000034612	675
ENSMUSG00000086899	674
ENSMUSG00000041390	673
ENSMUSG00000109473	673
ENSMUSG00000020573	673
ENSMUSG00000101574	670
ENSMUSG00000032402	668
ENSMUSG00000090946	666
ENSMUSG00000035954	666
ENSMUSG00000025321	665
ENSMUSG00000020623	663
ENSMUSG00000032280	662
ENSMUSG00000026970	660
ENSMUSG00000070780	659
ENSMUSG00000019947	659
ENSMUSG00000047407	657
ENSMUSG00000020400	657
ENSMUSG00000050721	655
ENSMUSG00000052155	655
ENSMUSG00000028266	654
ENSMUSG00000022637	653
ENSMUSG00000029135	652
ENSMUSG00000004085	649
ENSMUSG00000024052	648
ENSMUSG00000026358	647
ENSMUSG00000036390	647
ENSMUSG00000022150	643
ENSMUSG00000034390	643
ENSMUSG00000066406	640
ENSMUSG00000057531	636
ENSMUSG00000022272	636
ENSMUSG00000056220	635
ENSMUSG00000024754	635
ENSMUSG00000027009	635
ENSMUSG00000032841	630
ENSMUSG00000052056	629
ENSMUSG00000028573	627
ENSMUSG00000056608	626
ENSMUSG00000026749	625
ENSMUSG00000039621	623
ENSMUSG00000053819	621
ENSMUSG00000025969	621
ENSMUSG00000027878	620
ENSMUSG00000020053	617
ENSMUSG00000022353	614
ENSMUSG00000021699	614
ENSMUSG00000032220	614
ENSMUSG00000038843	613
ENSMUSG00000024544	612
ENSMUSG00000113211	612
ENSMUSG00000049800	610
ENSMUSG00000038301	609
ENSMUSG00000051379	604
ENSMUSG00000029207	602
ENSMUSG00000038910	601
ENSMUSG00000022148	599
ENSMUSG00000045817	599
ENSMUSG00000021365	599
ENSMUSG00000041695	598
ENSMUSG00000019726	598
ENSMUSG00000028599	596
ENSMUSG00000059810	595
ENSMUSG00000007892	593
ENSMUSG00000021596	592
ENSMUSG00000013846	591
ENSMUSG00000100335	590
ENSMUSG00000028517	589
ENSMUSG00000022636	588
ENSMUSG00000028161	586
ENSMUSG00000071379	584
ENSMUSG00000052331	584
ENSMUSG00000025612	583
ENSMUSG00000042292	582
ENSMUSG00000022263	581
ENSMUSG00000026394	581
ENSMUSG00000025017	581
ENSMUSG00000015755	581
ENSMUSG00000029313	581
ENSMUSG00000113035	580
ENSMUSG00000021025	580
ENSMUSG00000065455	580
ENSMUSG00000028634	579
ENSMUSG00000021701	578
ENSMUSG00000059456	578
ENSMUSG00000021998	577
ENSMUSG00000046079	574
ENSMUSG00000015243	573
ENSMUSG00000075415	572
ENSMUSG00000032826	572
ENSMUSG00000097882	571
ENSMUSG00000046546	570
ENSMUSG00000039153	569
ENSMUSG00000015396	569
ENSMUSG00000044456	568
ENSMUSG00000029534	567
ENSMUSG00000020564	563
ENSMUSG00000060131	562
ENSMUSG00000028926	562
ENSMUSG00000068015	560
ENSMUSG00000038578	558
ENSMUSG00000027351	558
ENSMUSG00000048120	557
ENSMUSG00000045382	556
ENSMUSG00000059588	553
ENSMUSG00000032536	552
ENSMUSG00000030657	552
ENSMUSG00000039934	550
ENSMUSG00000019970	548
ENSMUSG00000039156	548
ENSMUSG00000047434	546
ENSMUSG00000028630	545
ENSMUSG00000036155	544
ENSMUSG00000053886	541
ENSMUSG00000031015	541
ENSMUSG00000021140	540
ENSMUSG00000100277	540
ENSMUSG00000095024	540
ENSMUSG00000074604	538
ENSMUSG00000042331	538
ENSMUSG00000050370	535
ENSMUSG00000039286	532
ENSMUSG00000015839	531
ENSMUSG00000026313	531
ENSMUSG00000026116	531
ENSMUSG00000036499	529
ENSMUSG00000022956	529
ENSMUSG00000034591	528
ENSMUSG00000026317	526
ENSMUSG00000022885	525
ENSMUSG00000041377	525
ENSMUSG00000035354	524
ENSMUSG00000026305	523
ENSMUSG00000041515	522
ENSMUSG00000053477	521
ENSMUSG00000059586	518
ENSMUSG00000031627	518
ENSMUSG00000022237	518
ENSMUSG00000027995	517
ENSMUSG00000097632	517
ENSMUSG00000038459	517
ENSMUSG00000027544	517
ENSMUSG00000024242	516
ENSMUSG00000046982	516
ENSMUSG00000042349	516
ENSMUSG00000004508	516
ENSMUSG00000030047	513
ENSMUSG00000057315	512
ENSMUSG00000039109	512
ENSMUSG00000019978	511
ENSMUSG00000017929	511
ENSMUSG00000045092	510
ENSMUSG00000045216	509
ENSMUSG00000039046	508
ENSMUSG00000039145	508
ENSMUSG00000037940	508
ENSMUSG00000030956	507
ENSMUSG00000020134	507
ENSMUSG00000029178	507
ENSMUSG00000033730	507
ENSMUSG00000021024	506
ENSMUSG00000019820	506
ENSMUSG00000032324	505
ENSMUSG00000000440	504
ENSMUSG00000055447	503
ENSMUSG00000017677	503
ENSMUSG00000004633	503
ENSMUSG00000092679	503
ENSMUSG00000028530	503
ENSMUSG00000024014	502
ENSMUSG00000022372	502
ENSMUSG00000027011	501
ENSMUSG00000007613	501
ENSMUSG00000056069	501
ENSMUSG00000033450	500
ENSMUSG00000031004	499
ENSMUSG00000030200	498
ENSMUSG00000038872	498
ENSMUSG00000031530	498
ENSMUSG00000022307	497
ENSMUSG00000045763	497
ENSMUSG00000086111	496
ENSMUSG00000051864	496
ENSMUSG00000109305	495
ENSMUSG00000037242	495
ENSMUSG00000054640	495
ENSMUSG00000020661	494
ENSMUSG00000004842	494
ENSMUSG00000059288	493
ENSMUSG00000022443	493
ENSMUSG00000028032	493
ENSMUSG00000028207	492
ENSMUSG00000021457	491
ENSMUSG00000026395	490
ENSMUSG00000051344	490
ENSMUSG00000025324	490
ENSMUSG00000019986	490
ENSMUSG00000030123	489
ENSMUSG00000027340	489
ENSMUSG00000034168	488
ENSMUSG00000042677	488
ENSMUSG00000018334	486
ENSMUSG00000031652	486
ENSMUSG00000015733	486
ENSMUSG00000019920	486
ENSMUSG00000112500	486
ENSMUSG00000107153	486
ENSMUSG00000063506	486
ENSMUSG00000018427	484
ENSMUSG00000026341	484
ENSMUSG00000021624	484
ENSMUSG00000027508	484
ENSMUSG00000039005	483
ENSMUSG00000034574	483
ENSMUSG00000041607	482
ENSMUSG00000061461	482
ENSMUSG00000020271	482
ENSMUSG00000071669	481
ENSMUSG00000027678	481
ENSMUSG00000030557	481
ENSMUSG00000027087	481
ENSMUSG00000025958	479
ENSMUSG00000038173	479
ENSMUSG00000019838	479
ENSMUSG00000026655	478
ENSMUSG00000052512	477
ENSMUSG00000028967	475
ENSMUSG00000021676	474
ENSMUSG00000040209	474
ENSMUSG00000037410	474
ENSMUSG00000044042	474
ENSMUSG00000026425	473
ENSMUSG00000029648	473
ENSMUSG00000022139	473
ENSMUSG00000028788	473
ENSMUSG00000016087	472
ENSMUSG00000040710	471
ENSMUSG00000002489	471
ENSMUSG00000035778	470
ENSMUSG00000105279	470
ENSMUSG00000021756	469
ENSMUSG00000024066	469
ENSMUSG00000021133	468
ENSMUSG00000016664	468
ENSMUSG00000021591	467
ENSMUSG00000003382	467
ENSMUSG00000027435	467
ENSMUSG00000022462	466
ENSMUSG00000098344	466
ENSMUSG00000037759	465
ENSMUSG00000022270	465
ENSMUSG00000021725	464
ENSMUSG00000030536	464
ENSMUSG00000042599	464
ENSMUSG00000043051	464
ENSMUSG00000062210	464
ENSMUSG00000039782	464
ENSMUSG00000032265	463
ENSMUSG00000039031	462
ENSMUSG00000001687	462
ENSMUSG00000023827	462
ENSMUSG00000075284	461
ENSMUSG00000045875	461
ENSMUSG00000005583	460
ENSMUSG00000024190	460
ENSMUSG00000039844	458
ENSMUSG00000031709	457
ENSMUSG00000093292	455
ENSMUSG00000025034	455
ENSMUSG00000032724	455
ENSMUSG00000032024	454
ENSMUSG00000090386	454
ENSMUSG00000026700	453
ENSMUSG00000032440	453
ENSMUSG00000105697	453
ENSMUSG00000026987	452
ENSMUSG00000032860	452
ENSMUSG00000034394	452
ENSMUSG00000027347	451
ENSMUSG00000021366	451
ENSMUSG00000033499	451
ENSMUSG00000058503	451
ENSMUSG00000101959	450
ENSMUSG00000098780	450
ENSMUSG00000028635	450
ENSMUSG00000044477	449
ENSMUSG00000034135	449
ENSMUSG00000062232	448
ENSMUSG00000030084	447
ENSMUSG00000053113	447
ENSMUSG00000056498	447
ENSMUSG00000041992	447
ENSMUSG00000027333	446
ENSMUSG00000048285	446
ENSMUSG00000005089	445
ENSMUSG00000039697	445
