823_control_1.txt	824_control_2.txt	825_control_3.txt	826_2week_1.txt	829_2week_2.txt	829_2week_3.txt	830_4week_1.txt	831_4week_2.txt	832_4week_3.txt	835_7week_1.txt	836_7week_2.txt	839_7week_3.txt	840_10week_1.txt	841_10week_2.txt	847_10week_3.txt
ENSMUSG00000000001	1824	988	1417	1476	1853	1059	2061	898	1574	1908	2181	1819	1885	1472	1891
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	49	40	88	202	75	56	105	45	128	159	234	88	182	156	167
ENSMUSG00000000031	1278	2	191	35	10	4	4	6	133	58	982	105	503	182	325
ENSMUSG00000000037	19	6	33	7	4	3	8	6	9	3	5	0	2	6	2
ENSMUSG00000000049	5	1	1	1	6	5	5	2	4	1	2	4	0	0	1
ENSMUSG00000000056	606	343	674	282	508	273	691	389	542	556	570	514	432	382	557
ENSMUSG00000000058	186	137	303	165	227	39	186	116	210	201	170	179	156	230	134
ENSMUSG00000000078	2863	1256	2048	1926	1990	1513	2326	1625	1735	2198	1886	2109	1814	1653	1562
ENSMUSG00000000085	394	255	617	533	562	241	490	312	538	667	847	380	657	519	768
ENSMUSG00000000088	2048	1041	2038	2024	2778	1928	3005	1646	2396	911	1526	829	1053	901	1106
ENSMUSG00000000093	90	83	180	90	128	50	177	70	118	85	107	114	85	115	91
ENSMUSG00000000094	8	6	9	2	10	1	5	5	9	17	29	24	29	17	26
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	78	83	207	179	131	35	98	25	53	115	21	128	67	137	39
ENSMUSG00000000125	4	0	1	2	0	2	3	3	14	34	44	15	36	17	72
ENSMUSG00000000126	30	24	65	23	16	6	11	5	7	27	7	9	17	24	7
ENSMUSG00000000127	144	100	155	124	183	84	173	107	160	163	158	144	136	133	127
ENSMUSG00000000131	593	293	761	509	548	313	646	323	587	764	870	534	779	625	725
ENSMUSG00000000134	479	257	516	483	515	263	469	209	354	529	612	445	571	490	549
ENSMUSG00000000142	294	157	418	62	77	90	307	113	485	3167	3573	2106	2552	1407	3007
ENSMUSG00000000148	188	110	294	156	163	120	198	119	215	192	237	185	196	176	209
ENSMUSG00000000149	378	266	658	396	309	297	378	220	463	520	580	453	490	363	587
ENSMUSG00000000154	796	404	825	824	1273	1271	1136	765	1020	433	641	482	529	410	573
ENSMUSG00000000157	37	16	32	22	121	21	40	14	26	33	21	27	35	35	29
ENSMUSG00000000159	236	133	219	467	531	314	396	303	390	204	229	155	211	141	244
ENSMUSG00000000167	21	12	15	19	21	11	27	8	21	21	27	17	30	15	29
ENSMUSG00000000168	1129	628	1110	846	1105	520	1353	582	1084	849	921	719	792	558	714
ENSMUSG00000000171	3601	1715	3444	3233	3654	2755	4860	2824	4454	1556	2217	1717	1876	1266	1749
ENSMUSG00000000182	0	0	0	5	0	0	0	0	0	0	0	0	4	2	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	2626	1754	3352	1231	2216	437	1818	724	1553	2265	2818	2273	2385	1526	2671
ENSMUSG00000000194	851	457	943	780	1099	687	1023	543	841	678	793	641	752	572	663
ENSMUSG00000000197	14	18	28	24	21	7	11	6	12	3	0	4	4	6	1
