	cluster	marker	week	deg_number
0	rna_gene_list_cluster8	H3K4me1	2	88
1	rna_gene_list_cluster7	H3K4me1	2	103
2	rna_gene_list_cluster2	H3K4me1	2	2164
3	rna_gene_list_cluster6	H3K4me1	2	189
4	rna_gene_list_cluster9	H3K4me1	2	105
5	rna_gene_list_cluster5	H3K4me1	2	16
6	rna_gene_list_cluster4	H3K4me1	2	190
7	rna_gene_list_cluster3	H3K4me1	2	204
8	rna_gene_list_cluster1	H3K4me1	2	498
9	rna_gene_list_cluster8	H3K4me1	4	32
10	rna_gene_list_cluster7	H3K4me1	4	30
11	rna_gene_list_cluster2	H3K4me1	4	482
12	rna_gene_list_cluster6	H3K4me1	4	50
13	rna_gene_list_cluster9	H3K4me1	4	25
14	rna_gene_list_cluster5	H3K4me1	4	5
15	rna_gene_list_cluster4	H3K4me1	4	36
16	rna_gene_list_cluster3	H3K4me1	4	59
17	rna_gene_list_cluster1	H3K4me1	4	152
18	rna_gene_list_cluster8	H3K4me1	7	43
19	rna_gene_list_cluster7	H3K4me1	7	25
20	rna_gene_list_cluster2	H3K4me1	7	769
21	rna_gene_list_cluster6	H3K4me1	7	86
22	rna_gene_list_cluster9	H3K4me1	7	43
23	rna_gene_list_cluster5	H3K4me1	7	6
24	rna_gene_list_cluster4	H3K4me1	7	68
25	rna_gene_list_cluster3	H3K4me1	7	74
26	rna_gene_list_cluster1	H3K4me1	7	290
27	rna_gene_list_cluster8	H3K4me1	10	89
28	rna_gene_list_cluster7	H3K4me1	10	45
29	rna_gene_list_cluster2	H3K4me1	10	1344
30	rna_gene_list_cluster6	H3K4me1	10	186
31	rna_gene_list_cluster9	H3K4me1	10	98
32	rna_gene_list_cluster5	H3K4me1	10	9
33	rna_gene_list_cluster4	H3K4me1	10	131
34	rna_gene_list_cluster3	H3K4me1	10	151
35	rna_gene_list_cluster1	H3K4me1	10	505
36	rna_gene_list_cluster8	H3K27ac	2	97
37	rna_gene_list_cluster7	H3K27ac	2	122
38	rna_gene_list_cluster2	H3K27ac	2	1955
39	rna_gene_list_cluster6	H3K27ac	2	177
40	rna_gene_list_cluster9	H3K27ac	2	131
41	rna_gene_list_cluster5	H3K27ac	2	16
42	rna_gene_list_cluster4	H3K27ac	2	178
43	rna_gene_list_cluster3	H3K27ac	2	201
44	rna_gene_list_cluster1	H3K27ac	2	465
45	rna_gene_list_cluster8	H3K27ac	4	94
46	rna_gene_list_cluster7	H3K27ac	4	94
47	rna_gene_list_cluster2	H3K27ac	4	1167
48	rna_gene_list_cluster6	H3K27ac	4	146
49	rna_gene_list_cluster9	H3K27ac	4	103
50	rna_gene_list_cluster5	H3K27ac	4	16
51	rna_gene_list_cluster4	H3K27ac	4	184
52	rna_gene_list_cluster3	H3K27ac	4	150
53	rna_gene_list_cluster1	H3K27ac	4	463
54	rna_gene_list_cluster8	H3K27ac	7	169
55	rna_gene_list_cluster7	H3K27ac	7	107
56	rna_gene_list_cluster2	H3K27ac	7	1982
57	rna_gene_list_cluster6	H3K27ac	7	246
58	rna_gene_list_cluster9	H3K27ac	7	175
59	rna_gene_list_cluster5	H3K27ac	7	20
60	rna_gene_list_cluster4	H3K27ac	7	307
61	rna_gene_list_cluster3	H3K27ac	7	285
62	rna_gene_list_cluster1	H3K27ac	7	764
63	rna_gene_list_cluster8	H3K27ac	10	196
64	rna_gene_list_cluster7	H3K27ac	10	104
65	rna_gene_list_cluster2	H3K27ac	10	2393
66	rna_gene_list_cluster6	H3K27ac	10	241
67	rna_gene_list_cluster9	H3K27ac	10	206
68	rna_gene_list_cluster5	H3K27ac	10	20
69	rna_gene_list_cluster4	H3K27ac	10	315
70	rna_gene_list_cluster3	H3K27ac	10	345
71	rna_gene_list_cluster1	H3K27ac	10	768
72	rna_gene_list_cluster8	H3K9me2	2	0
73	rna_gene_list_cluster7	H3K9me2	2	0
74	rna_gene_list_cluster2	H3K9me2	2	0
75	rna_gene_list_cluster6	H3K9me2	2	0
76	rna_gene_list_cluster9	H3K9me2	2	0
77	rna_gene_list_cluster5	H3K9me2	2	0
78	rna_gene_list_cluster4	H3K9me2	2	0
79	rna_gene_list_cluster3	H3K9me2	2	0
80	rna_gene_list_cluster1	H3K9me2	2	0
81	rna_gene_list_cluster8	H3K9me2	4	0
82	rna_gene_list_cluster7	H3K9me2	4	0
83	rna_gene_list_cluster2	H3K9me2	4	1
84	rna_gene_list_cluster6	H3K9me2	4	0
85	rna_gene_list_cluster9	H3K9me2	4	0
86	rna_gene_list_cluster5	H3K9me2	4	0
87	rna_gene_list_cluster4	H3K9me2	4	0
88	rna_gene_list_cluster3	H3K9me2	4	0
89	rna_gene_list_cluster1	H3K9me2	4	0
90	rna_gene_list_cluster8	H3K9me2	7	0
91	rna_gene_list_cluster7	H3K9me2	7	0
92	rna_gene_list_cluster2	H3K9me2	7	5
93	rna_gene_list_cluster6	H3K9me2	7	0
94	rna_gene_list_cluster9	H3K9me2	7	0
95	rna_gene_list_cluster5	H3K9me2	7	0
96	rna_gene_list_cluster4	H3K9me2	7	0
97	rna_gene_list_cluster3	H3K9me2	7	1
98	rna_gene_list_cluster1	H3K9me2	7	0
